ID	Capability domain	Capability	Historical evidence	Evidence class / confidence	Current CTR behavior	Current source / test evidence	Current deployment status	Restoration status	Intentional modern divergence	Remaining gap	Target decision	Restoration lane	Citizen impact	GitHub issue	Notes (recon CTR mapping)
MALL-14	Mall, Commerce & Objects	Shopping funds console	templates/shopping/funds/phase1-3	PROVEN_SOURCE	No shopping funds console	n/a	n/a	MISSING_ACTIONABLE	-	Depends on the place-wallet primitive	restore	CASH-A2	low	#17	no CTR equivalent
MALL-15	Mall, Commerce & Objects	Auction / bidding	templates/bid	PROVEN_SOURCE	No auction	n/a	n/a	MISSING_ACTIONABLE	-	Auction/bidding absent	restore	BACKLOG-P3	low	#26	no CTR equivalent
MALL-16	Mall, Commerce & Objects	Casino / arcade	templates/casino, templates/arcade	PROVEN_SOURCE	No casino/arcade	n/a	n/a	MISSING_ACTIONABLE	-	Casino/arcade absent	restore	BACKLOG-P3	low	#26	no CTR equivalent
MALL-17	Mall, Commerce & Objects	CityCash Lottery - Game of Chance	templates/event/citycash1-5; citycash5setup and citycash5.dat build the event tree; 8 weekly rounds with 1st-3rd prizes, 10 million CC headline prize, max 10 entries per week, jackpot funded by entries, referral multiplier; created 20001024; event CGI had zero requests in the 2010 window	PROVEN_SOURCE	No lottery	n/a	n/a	HISTORICALLY_DECOMMISSIONED	-	Created 2000-10-24; the `event` CGI drew ZERO requests in the final-era window	not a target	-	none - retired by the operators years before the end	-	no CTR equivalent
MALL-18	Mall, Commerce & Objects	CityCash sink - lottery ticket purchase	citycash5 event MON -32 and the insufficient-funds refusal string	PROVEN_SOURCE	No lottery ticket sink	n/a	n/a	HISTORICALLY_DECOMMISSIONED	-	Decommissioned with MALL-17; its sink was -32, not the -20 of ECON-13	not a target	-	none - the only evidenced mechanism that destroyed CityCash rather than moving it	-	no CTR equivalent
COMM-01	Community, Mail & Clubs	Message boards read	msb?ac=listhdr / listmsg, 152243 requests	PROVEN_PRODUCTION_USE	Message boards read	api/src/controllers/messageboard.controller.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	messageboard service, MessageBoard.vue
COMM-02	Community, Mail & Clubs	Message board post	msb?ac=write, 11776 POSTs	PROVEN_PRODUCTION_USE	Message board post, sanitised on write	messageboard.controller.ts:170,218,278	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Allowlist sanitisation on write	Sanitisation is per-call-site, not enforced at a choke point	restore	GENERAL-INBOX-SECURITY	none	#14	messageboard service
COMM-03	Community, Mail & Clubs	Private mail	message?ac=list, 580978 requests, 3rd busiest	PROVEN_PRODUCTION_USE	Private mail: compose, reply, list, delete, broadcast	api/src/routes/inbox.routes.ts; api/src/services/inbox/inbox.service.ts	Deployed @ba8c6a3	RESTORED	Inbox is keyed on the recipient home place -- which MATCHES the historical `i<HOM><date>` key	None found. Assessed and closed as RESTORED; no mail lane created	no action	-	high - mapping unverified	-	inbox service, Inbox.vue
COMM-04	Community, Mail & Clubs	Instant messaging	msg CGI, msserver; zero requests in 2010 window	PROVEN_PRODUCTION_USE	No instant messaging	n/a	n/a	HISTORICALLY_DECOMMISSIONED	-	`msg` CGI / msserver drew ZERO requests in the final-era window	not a target	-	none	-	no CTR equivalent
COMM-05	Community, Mail & Clubs	Inbox item write from another subsystem	DB I I ID i<HOM><date> OWN NNM NAM TXT	PROVEN_SOURCE	Inbox writes from other subsystems	inbox.repository.ts:119; transfer.repository.ts:333	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Bank receipts escaped at the sink rather than allowlisted -- see libs/html.ts	-	no action	-	none	-	inboxController.postInboxMessage
COMM-06	Community, Mail & Clubs	Broadcast to all	no historical route identified	SPECULATIVE	InboxToAll / MessageToAll	spa/src/pages/InboxToAll.vue, MessageToAll.vue	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	CTR capability; no historical route was identified	-	no action	-	none	-	InboxToAll.vue, MessageToAll.vue
COMM-07	Community, Mail & Clubs	Clubs directory	club?ac=directory, 17842 requests	PROVEN_PRODUCTION_USE	Clubs directory	club service	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	club service, ClubDir.vue
COMM-08	Community, Mail & Clubs	Club creation and membership	e_club_create 10 XP; club-member repository	PROVEN_SOURCE	Club creation and membership	club-member repository	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	club/create.vue, club/Members.vue
COMM-09	Community, Mail & Clubs	Club finance	templates/club with MON in admin config	LIKELY	No club finance	n/a	n/a	MISSING_ACTIONABLE	-	Depends on the place-wallet primitive	restore	CASH-A2	medium	#17	no club balance in CTR
COMM-10	Community, Mail & Clubs	Buddy list	buddy CGI; zero requests in 2010 window	PROVEN_PRODUCTION_USE	No buddy list	n/a	n/a	HISTORICALLY_DECOMMISSIONED	-	`buddy` CGI drew ZERO requests in the final-era window	not a target	-	none	-	no CTR equivalent
COMM-11	Community, Mail & Clubs	Online citizen roster	memberdir/chatmembers.tmpl	PROVEN_SOURCE	Online citizen roster	socket presence; roster privacy rules	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	roster service
COMM-12	Community, Mail & Clubs	Voting	vote?ac=listhdr, 616 requests, vote.cfg	PROVEN_PRODUCTION_USE	Voting	api/src/controllers/vote.controller.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	vote service, MayorElection.vue
COMM-13	Community, Mail & Clubs	Community calendar	calweb.cgi, 35754 requests	PROVEN_PRODUCTION_USE	Community calendar	calendar components	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Replaces calweb.cgi	-	no action	-	none	-	live-event service, admin/LiveEvent.vue
COMM-14	Community, Mail & Clubs	Events	event CGI; 194 finished 2001-2003 events, zero requests	PROVEN_PRODUCTION_USE	No events system	spa/src/pages/admin/LiveEvent.vue is a separate admin tool	n/a	HISTORICALLY_DECOMMISSIONED	-	194 finished 2001-2003 events; ZERO requests in the final-era window	not a target	-	none	-	live-event
COMM-15	Community, Mail & Clubs	Member directory / search	templates/memberdir	PROVEN_SOURCE	Member directory / search	/admin/usersearch; citizen directory	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	directory/Directory.vue
COMM-16	Community, Mail & Clubs	Problem report form	templates/problem_report/pr.pl	PROVEN_SOURCE	No problem report form	n/a	n/a	MISSING_ACTIONABLE	-	Support intake absent; cheap and useful once beta has testers	restore	BACKLOG-P3	medium	#26	no CTR equivalent
COMM-17	Community, Mail & Clubs	Surveys and contests	survey/, minisurvey/, subsurvey/, trivia/	PROVEN_SOURCE	No surveys/contests	n/a	n/a	MISSING_ACTIONABLE	-	survey/minisurvey/subsurvey/trivia absent	restore	BACKLOG-P3	low	#26	no CTR equivalent
COMM-18	Community, Mail & Clubs	Sponsorship application	sponsorshipapp/sa.pl, sponsorsdir	PROVEN_SOURCE	No sponsorship application	n/a	n/a	NOT_RESTORATION_TARGET	-	Commercial sponsorship intake; not a restoration target	not a target	-	low	-	no CTR equivalent
GOV-01	Governance, Roles & Moderation	Roles and role hierarchy	124 roles, 22914 role memberships	PROVEN_RUNTIME	Roles resolved by name	api/src/repositories/role/role.repository.ts (roleMap private since ba8c6a3)	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Role ids are NOT hard-coded to historic numeric values; the compiler enforces async-only cache access	-	no action	-	none	-	role service, role_assignment
GOV-02	Governance, Roles & Moderation	Hiring and firing	citizen?ac=employment; employment templates	PROVEN_SOURCE	Hiring and firing	/admin/hirerole, /admin/firerole	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	admin HireRoles/FireRoles, employment place
GOV-03	Governance, Roles & Moderation	Place-scoped authority / deputies	*ACR rightsaccess owneraccess writeaccess readaccess	PROVEN_SOURCE	Place-scoped authority	api/src/services/place/PlaceAccessService	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Fail-closed authorization replaces *ACR string matching	-	no action	-	none	-	place-role-access, AccessRights.vue
GOV-04	Governance, Roles & Moderation	Elections / mayor	templates/cityhall, vote	PROVEN_SOURCE	Elections / mayor	vote.controller.ts; spa/src/pages/MayorElection.vue	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Immigration-date eligibility gate is a CTR addition	-	no action	-	none	-	MayorElection.vue
GOV-05	Governance, Roles & Moderation	Jail / security	templates/jail-OLD, jailoffice-OLD; jail CGI 404, 1776 requests	PROVEN_PRODUCTION_USE	Jail place component; ban + ban history	/admin/ban, /admin/banhistory	Deployed @ba8c6a3	PRESENT_PARTIAL	-	No confinement state. NOTE: the jail CGI was ALREADY 404 in the final era	restore	ADMIN-A1	low	#21	jail place component
GOV-06	Governance, Roles & Moderation	Tribunal	tribunal/tribunal.pl	PROVEN_SOURCE	No tribunal	n/a	n/a	OWNER_DECISION_REQUIRED	-	Disposition workflow absent; owner must decide whether it is a target	owner decision	ADMIN-A1	low	#21	no CTR equivalent
GOV-07	Governance, Roles & Moderation	Staff / admin console	/cgi-bin/admin/admin, 3083 requests	PROVEN_PRODUCTION_USE	Admin console: 19 routes, 29 Vue pages	api/src/routes/admin.routes.ts; spa/src/pages/admin/	Deployed @ba8c6a3	RESTORED	CTR EXCEEDS history in several areas	-	no action	-	none	-	admin pages and routes
GOV-08	Governance, Roles & Moderation	Administrative balance adjustment	admin_OLd_nO-ENtrY/member.cfg exposes MON	LIKELY	No balance adjustment	wallet.repository.ts:22 `addMoney` has an EMPTY BODY and zero callers	n/a	MISSING_ACTIONABLE	-	Staff cannot adjust a balance; the apparent mechanism is dead code	restore	ADMIN-A1	medium - no way to correct an error	#21	no admin balance edit route found
NEWS-01	News & Content	Daily News archive	/DailyNews/ 4685 and /dailynews2/ 4818 requests	PROVEN_PRODUCTION_USE	Daily News	api/src/controllers/news.controller.ts; spa/src/pages/News.vue	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	news service, News.vue, admin/news/editor
NEWS-02	News & Content	News CGI	news CGI; zero requests in 2010 window	PROVEN_PRODUCTION_USE	No separate news CGI	news.controller.ts covers it	n/a	HISTORICALLY_DECOMMISSIONED	-	`news` CGI drew ZERO requests in the final-era window	not a target	-	none	-	news service
PLAT-01	Platform & Operational	Colony and place content breadth	131 template directories, 24 CGI trees	PROVEN_SOURCE	837 places on beta	beta DB baseline at ba8c6a3	Deployed @ba8c6a3	PRESENT_PARTIAL	-	131 historical template directories; content breadth work	restore	BACKLOG-P3	high - many historical venues have no CTR page	#26	34 place components
PLAT-02	Platform & Operational	Spell-check helper	aspell/nspell.pl, 376 requests	PROVEN_PRODUCTION_USE	No spell-check helper	n/a	n/a	MISSING_ACTIONABLE	-	Trivial	restore	BACKLOG-P3	trivial	#26	no CTR equivalent
PLAT-03	Platform & Operational	ccenter and ftfetch	broken config; zero requests in 2010 window	PROVEN_PRODUCTION_USE	No ccenter/ftfetch	n/a	n/a	HISTORICALLY_DECOMMISSIONED	-	Broken config historically; ZERO requests in the final-era window	not a target	-	none	-	no CTR equivalent
